VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Obesity_Orbergozo	-17.262694	83.744627	-181.402163	146.876775	-0.206135	0.836685503052135	3.18351729043208e-08
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Obesity_WC	73.900483	102.884101	-127.752355	275.55332	0.718289	0.472579321732865	1.24328839593914e+32
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
TG_R	332.666264	144.94697	48.570203	616.762324	2.295089	0.0217279976620368	2.98622534336776e+144
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
HDL_R	156.63914	179.800622	-195.770079	509.048358	0.871182	0.383654561144578	1.06540315173871e+68
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Glucose_R	-309.297657	198.659027	-698.66935	80.074036	-1.556927	0.119487753385277	4.71774164394446e-135
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
HOMA_R	91.351266	94.501209	-93.871105	276.573636	0.966668	0.333710183402614	4.713578184267e+39
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Health_Status	36.188276	85.062639	-130.534496	202.911049	0.425431	0.670522576149051	5204375226484456
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_Cole	-180.84236	153.034169	-480.789331	119.10461	-1.181712	0.237319873866109	2.89175075393929e-79
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_Orbergozo	-180.84236	153.034169	-480.789331	119.10461	-1.181712	0.237319873866109	2.89175075393929e-79
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_Wc	-124.309938	128.210222	-375.601973	126.982096	-0.969579	0.332256385900613	1.03010097003895e-54
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
Metabolic_Syndrome_2COMP	-152.077531	114.679116	-376.848599	72.693537	-1.326114	0.184802085136969	8.98602174963909e-67
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
DBP_R	132.970242	113.493292	-89.476609	355.417094	1.171613	0.24135237286828	5.6007028717227e+57
VARIABLE	beta	SE	ci.lo	ci.hi	z-value	pvalue	OR
SBP_R	19.432006	119.438235	-214.666935	253.530948	0.162695	0.870758565435525	274924340.666133
